Gene description	Gene name
RNA, U4 small nuclear 86, pseudogene [Source:HGNC Symbol;Acc:HGNC:47022]	RNU4-86P
keratin 18 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:33404]	KRT18P35
WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	WEE1
long intergenic non-protein coding RNA 2068 [Source:HGNC Symbol;Acc:HGNC:52914]	LINC02068
NAALADL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41016]	NAALADL2-AS1
transmembrane protein 38B (TMEM38B) pseudogene	
high mobility group nucleosomal binding domain 2 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:39393]	HMGN2P26
caseinolytic mitochondrial matrix peptidase chaperone subunit X [Source:HGNC Symbol;Acc:HGNC:2088]	CLPX
heterogeneous nuclear ribonucleoprotein A1 pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:48794]	HNRNPA1P64
protein kinase, X-linked (PRKX) pseudogene	
outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225]	ODF2L
PRPF19 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55484]	PRPF19-DT
TMEM109 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55487]	TMEM109-DT
long intergenic non-protein coding RNA 1208 [Source:HGNC Symbol;Acc:HGNC:49639]	LINC01208
transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]	TMEM109
signal recognition particle 14kDa (homologous Alu RNA binding protein), pseudogene.	
ANAPC15 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54889]	ANAPC15P2
transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	TMEM132A
solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	SLC2A2
GTP binding elongation factor GUF1 [Source:HGNC Symbol;Acc:HGNC:25799]	GUF1
CD6 molecule [Source:HGNC Symbol;Acc:HGNC:1691]	CD6
cartilage intermediate layer protein [Source:HGNC Symbol;Acc:HGNC:1980]	CILP
glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526]	GNPDA2
transmembrane p24 trafficking protein 9 [Source:HGNC Symbol;Acc:HGNC:24878]	TMED9
novel transcript, antisense to KCNAB1	
SLIT and NTRK like family member 3 [Source:HGNC Symbol;Acc:HGNC:23501]	SLITRK3
olfactory receptor family 7 subfamily E member 21 pseudogene [Source:HGNC Symbol;Acc:HGNC:8393]	OR7E21P
RNA, U6 small nuclear 686, pseudogene [Source:HGNC Symbol;Acc:HGNC:47649]	RNU6-686P
small nucleolar RNA, H/ACA box 24B [Source:HGNC Symbol;Acc:HGNC:52198]	SNORA24B
RNA, U5A small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10211]	RNU5A-1
long intergenic non-protein coding RNA 2021 [Source:HGNC Symbol;Acc:HGNC:52856]	LINC02021
microRNA 4508 [Source:HGNC Symbol;Acc:HGNC:41659]	MIR4508
RNA, U6 small nuclear 741, pseudogene [Source:HGNC Symbol;Acc:HGNC:47704]	RNU6-741P
long intergenic non-protein coding RNA 578 [Source:HGNC Symbol;Acc:HGNC:43807]	LINC00578
PAQR5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55353]	PAQR5-DT
leucine zipper and EF-hand containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:14648]	LETM2
platelet derived growth factor receptor like 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:54778]	PDGFRL2P
progestin and adipoQ receptor family member 5 [Source:HGNC Symbol;Acc:HGNC:29645]	PAQR5
novel transcript, antisense to GUF1	
heat shock protein family A (Hsp70) member 8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44919]	HSPA8P4
novel transcript, antisense to GNPDA2	
methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	MTHFD2L
keratin 8 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:33365]	KRT8P13
novel transcript, antisense to PCDHB1 and PCDHB2	
long intergenic non-protein coding RNA 1997 [Source:HGNC Symbol;Acc:HGNC:52831]	LINC01997
heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034]	HNRNPAB
solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]	SLC25A36
novel transcript, sense intronic to PAQR5	
KIF23 and PAQR5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27075]	KIF23-AS1
Josephin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28853]	JOSD2
fumarylacetoacetate hydrolase domain containing 1 (FAHD1) pseudogene	
ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	FCN1
ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	RPLP1
mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]	MRPS34
cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723]	CERCAM
protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]	PTPRF
meiosis initiator [Source:HGNC Symbol;Acc:HGNC:44318]	MEIOSIN
retina and anterior neural fold homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18286]	RAX2
splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629]	SPSB3
ATP synthase peripheral stalk-membrane subunit b pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39745]	ATP5PBP4
zinc finger protein 724 [Source:HGNC Symbol;Acc:HGNC:32460]	ZNF724
RNA, U6 small nuclear 933, pseudogene [Source:HGNC Symbol;Acc:HGNC:47896]	RNU6-933P
LIN28A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38055]	LIN28AP1
heterogeneous nuclear ribonucleoprotein C pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48814]	HNRNPCP2
solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	SLC15A3
SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	SKIL
LanC like 1 [Source:HGNC Symbol;Acc:HGNC:6508]	LANCL1
long intergenic non-protein coding RNA 2896 [Source:HGNC Symbol;Acc:HGNC:55427]	LINC02896
ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	ERCC1
ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	ANK2
kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	KIF23
solute carrier family 36 member 2 [Source:HGNC Symbol;Acc:HGNC:18762]	SLC36A2
STEAP family member 1B [Source:HGNC Symbol;Acc:HGNC:41907]	STEAP1B
olfactory receptor family 7 subfamily E member 117 pseudogene [Source:HGNC Symbol;Acc:HGNC:15303]	OR7E117P
ADP-ribosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24049]	ART5
purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]	P2RY1
Intersectin-1 (ITSN1) pseudogene	
eukaryotic translation elongation factor 1 alpha 1 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:37898]	EEF1A1P25
NAALADL2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:41014]	NAALADL2-AS3
RasGEF domain family member 1C [Source:HGNC Symbol;Acc:HGNC:27400]	RASGEF1C
fer-1 like family member 6 [Source:HGNC Symbol;Acc:HGNC:28065]	FER1L6
ADP-ribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:723]	ART1
synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]	SYPL1
FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023]	FXR1
nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8042]	NUBP2
cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:HGNC:13800]	CHRNA10
transcription factor 24 [Source:HGNC Symbol;Acc:HGNC:32275]	TCF24
colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	CSF3
prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	PRUNE2
PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae) (PRPF3) pseudogene	
COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240]	COPS5
nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]	NUP98
DDB1 and CUL4 associated factor 13 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43866]	DCAF13P1
RNA, U6 small nuclear 392, pseudogene [Source:HGNC Symbol;Acc:HGNC:47355]	RNU6-392P
novel transcript, antisense to NAMPT	
LARP1B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44084]	LARP1BP2
40S ribososmal protein 3 (RPS3) pseudogene	
solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065]	SLC25A27
FAM193B divergent transcript [Source:HGNC Symbol;Acc:HGNC:55212]	FAM193B-DT
nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	NAMPT
long intergenic non-protein coding RNA 1020 [Source:HGNC Symbol;Acc:HGNC:27968]	LINC01020
thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	THRA
calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	CACNA1B
novel transcript, antisense to SLC25A27	
tudor domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21339]	TDRD6
golgi reassembly stacking protein 2 [Source:HGNC Symbol;Acc:HGNC:17500]	GORASP2
DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6) pseudogene	
phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	PLA2G7
ZFP2 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:26138]	ZFP2
protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]	PKN1
RNA, 5S ribosomal pseudogene 268 [Source:HGNC Symbol;Acc:HGNC:43168]	RNA5SP268
ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	ARFGEF1
DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae) (DCUN1D3) pseudogene	
SEMA5A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52973]	SEMA5A-AS1
CFAP53 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43919]	CFAP53P1
pseudogene similar to part of WD repeat domain 55 (WDR55)	
WBP1L pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43951]	WBP1LP4
long intergenic non-protein coding RNA 1107 [Source:HGNC Symbol;Acc:HGNC:49229]	LINC01107
adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	ADGRF5
spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]	SPDL1
UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]	UGGT1
microRNA 490 [Source:HGNC Symbol;Acc:HGNC:32075]	MIR490
keratin 8 pseudogene 51 [Source:HGNC Symbol;Acc:HGNC:48883]	KRT8P51
insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]	IGFALS
cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]	CHRM2
myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:HGNC:30321]	MPRIP
hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	HAGH
RNA, U6 small nuclear 1272, pseudogene [Source:HGNC Symbol;Acc:HGNC:48235]	RNU6-1272P
zinc finger CCCH-type containing, antiviral 1 like [Source:HGNC Symbol;Acc:HGNC:22423]	ZC3HAV1L
zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	ZC3HAV1
ADGRF5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40864]	ADGRF5-AS1
major facilitator superfamily domain containing 14B [Source:HGNC Symbol;Acc:HGNC:23376]	MFSD14B
UBE2V1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32648]	UBE2V1P2
stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	SERP1
family with sequence similarity 166 member B [Source:HGNC Symbol;Acc:HGNC:34242]	FAM166B
24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	DHCR24
long intergenic non-protein coding RNA 1485 [Source:HGNC Symbol;Acc:HGNC:51138]	LINC01485
novel transcript, sense intronic to ARFGEF1	
ARFGEF1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55237]	ARFGEF1-DT
ATP synthase membrane subunit c locus 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39507]	ATP5MC1P4
YWHAQ pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:37685]	YWHAQP6
ADP ribosylation factor like GTPase 2 binding protein pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39448]	ARL2BPP4
RTRAF pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54648]	RTRAFP2
tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21882]	TTC26
signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]	SIT1
integrator complex subunit 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43921]	INTS6P1
HMMR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49149]	HMMR-AS1
adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	AP2S1
TRAF2 and NCK interacting kinase [Source:HGNC Symbol;Acc:HGNC:30765]	TNIK
CD72 molecule [Source:HGNC Symbol;Acc:HGNC:1696]	CD72
UPP2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41467]	UPP2-IT1
C1q and TNF related 2 [Source:HGNC Symbol;Acc:HGNC:14325]	C1QTNF2
tektin 4 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42330]	TEKT4P3
chromosome 17 open reading frame 80 (C17orf80) pseudogene	
METAP2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54558]	METAP2P1
zinc finger CCCH-type containing 12A (ZC3H12A) pseudogene	
long intergenic non-protein coding RNA 1850 [Source:HGNC Symbol;Acc:HGNC:52666]	LINC01850
protease associated domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16047]	PRADC1
GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	GM2A
novel transcript, overlapping C16orf73	
novel transcript (FLJ45964)	
long intergenic non-protein coding RNA 2121 [Source:HGNC Symbol;Acc:HGNC:52977]	LINC02121
tubulin alpha pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:54880]	TUBAP13
Rho guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:681]	ARHGEF1
atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	ACKR3
RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]	RBM22
VAC14 component of PIKFYVE complex [Source:HGNC Symbol;Acc:HGNC:25507]	VAC14
RPS3A pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:54572]	RPS3AP13
ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	ERCC3
RNA, U6 small nuclear 1143, pseudogene [Source:HGNC Symbol;Acc:HGNC:48106]	RNU6-1143P
RNA, U7 small nuclear 50 pseudogene [Source:HGNC Symbol;Acc:HGNC:34146]	RNU7-50P
neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	NTRK2
post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:HGNC:17893]	PGAP2
long intergenic non-protein coding RNA 2795 [Source:HGNC Symbol;Acc:HGNC:54319]	LINC02795
polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]	GALNT10
phosphorylase kinase regulatory subunit alpha 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:33919]	PHKA1P1
cell division cycle associated 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49771]	CDCA4P2
collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]	COL24A1
novel transcript, antisense to VAC14	
VAC14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48605]	VAC14-AS1
polycomb group ring finger 1 (PCGF1) pseudogene	
reticulon 4 interacting protein 1 (RTN4IP1) pseudogene	
RNA, U6 small nuclear 1271, pseudogene [Source:HGNC Symbol;Acc:HGNC:48234]	RNU6-1271P
TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]	TIGAR
RNA, U6atac small nuclear 25, pseudogene [Source:HGNC Symbol;Acc:HGNC:46924]	RNU6ATAC25P
novel transcript, antisense to HYDIN	
glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	GLUD1
novel transcript HYDIN	
tektin 5 [Source:HGNC Symbol;Acc:HGNC:26554]	TEKT5
MAPK6 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53900]	MAPK6-DT
novel transcript, intronic to MAPK6	
novel transcript, antisense to MAPK6	
fibroblast growth factor 23 [Source:HGNC Symbol;Acc:HGNC:3680]	FGF23
novel transcript, antisense to GNB5	
long intergenic non-protein coding RNA 1932 [Source:HGNC Symbol;Acc:HGNC:52755]	LINC01932
thiosulfate sulfurtransferase (rhodanese)-like domain containing 1 (TSTD1) pseudogene	
novel transcript, antisense to TEKT5	
MT-CYB pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:52301]	MTCYBP33
competing endogenous lncRNA 1 for miR-4707-5p and miR-4767 [Source:HGNC Symbol;Acc:HGNC:52664]	CERNA1
MT-ND6 pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:52175]	MTND6P33
cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	CCND2
MT-ND5 pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:51952]	MTND5P33
MT-ND4 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:51948]	MTND4P34
MT-ND4L pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42258]	MTND4LP24
myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]	MYO5C
MT-ND3 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:52073]	MTND3P13
coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]	CCDC69
MT-CO3 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:52127]	MTCO3P24
Male-specific lethal-3 homolog 1 (Msl3l1) pseudogene	
MT-ATP6 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:52180]	MTATP6P24
FCF1 small subunit (SSU) processome component homolog (S. cerevisiae), pseudogene	
mitotic spindle organizing protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50606]	MZT1P2
nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8041]	NUBP1
ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]	UBN2
growth differentiation factor 11 [Source:HGNC Symbol;Acc:HGNC:4216]	GDF11
SAP domain containing ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:24432]	SARNP
synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670]	SV2C
RNA, U6 small nuclear 206, pseudogene [Source:HGNC Symbol;Acc:HGNC:47169]	RNU6-206P
RNA, U7 small nuclear 154 pseudogene [Source:HGNC Symbol;Acc:HGNC:45688]	RNU7-154P
tetratricopeptide repeat domain 14 (TTC14) pseudogene	
FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788]	FEZF1
aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	AQP3
microRNA 4664 [Source:HGNC Symbol;Acc:HGNC:41777]	MIR4664
microRNA 6851 [Source:HGNC Symbol;Acc:HGNC:50083]	MIR6851
serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]	STK39
aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	AASS
ankyrin repeat domain 18B [Source:HGNC Symbol;Acc:HGNC:23644]	ANKRD18B
MT-CYB pseudogene 37 [Source:HGNC Symbol;Acc:HGNC:52305]	MTCYBP37
coiled-coil domain containing 176 (CCDC176) pseudogene	
mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]	MED26
trans-golgi network vesicle protein 23 homolog A [Source:HGNC Symbol;Acc:HGNC:20398]	TVP23A
novel transcript, sense intronic to SARNP	
hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	HMMR
ORMDL sphingolipid biosynthesis regulator 2 [Source:HGNC Symbol;Acc:HGNC:16037]	ORMDL2
tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	TP53
barttin CLCNK type accessory subunit beta [Source:HGNC Symbol;Acc:HGNC:16512]	BSND
progestagen associated endometrial protein [Source:HGNC Symbol;Acc:HGNC:8573]	PAEP
peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	PIN1
glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	GPX7
NCKAP5 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:54065]	NCKAP5-AS2
matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	MMP19
solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]	SLC44A3
deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]	DTYMK
microRNA 1266 [Source:HGNC Symbol;Acc:HGNC:35334]	MIR1266
eukaryotic translation elongation factor 1 beta 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3207]	EEF1B2P1
X-ray repair cross complementing 1 [Source:HGNC Symbol;Acc:HGNC:12828]	XRCC1
cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	ARPP19
novel transcript, antisense to CIITA	
Dexi homolog [Source:HGNC Symbol;Acc:HGNC:13267]	DEXI
ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	RHOG
STIM1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40568]	STIM1-AS1
novel transcript, sense overlapping STIM1	
component of oligomeric golgi complex 7 [Source:HGNC Symbol;Acc:HGNC:18622]	COG7
microRNA 4687 [Source:HGNC Symbol;Acc:HGNC:41712]	MIR4687
peptidylprolyl isomerase A pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:53664]	PPIAP40
Acyl-CoA-binding domain-containing protein 7 (ACBD7) pseudogene	
heterogeneous nuclear ribonucleoprotein A1 pseudogene 76 [Source:HGNC Symbol;Acc:HGNC:48806]	HNRNPA1P76
ribosomal protein S29 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:36491]	RPS29P20
long intergenic non-protein coding RNA 1502 [Source:HGNC Symbol;Acc:HGNC:51183]	LINC01502
OLA1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:45278]	OLA1P3
ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	RRM1
glutathione S-transferase pi 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4640]	GSTP1P1
progestagen associated endometrial protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49600]	PAEPP1
glycosyltransferase 6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23671]	GLT6D1
novel complement component 2 (C2) and complement factor B (CFB) protein	
novel beta-lactoglobulin-like protein	
diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	DGKA
lipocalin 9 [Source:HGNC Symbol;Acc:HGNC:17442]	LCN9
mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]	MAL
TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	TRAF2
novel transcript, antisense to KIAA1370	
C2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49464]	C2-AS1
novel transcript, intronic to KIAA1370	
RN7SK pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:45747]	RN7SKP23
ribosomal protein SA pseudogene 55 [Source:HGNC Symbol;Acc:HGNC:36921]	RPSAP55
MYL6B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51647]	MYL6BP1
eukaryotic translation elongation factor 1 alpha 1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:37895]	EEF1A1P22
BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	BBC3
interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	IL1A
selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]	SELENOS
golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	GGA2
long intergenic non-protein coding RNA 2665 [Source:HGNC Symbol;Acc:HGNC:54151]	LINC02665
cytochrome c oxidase subunit 6C pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:49369]	COX6CP17
RNA, U6 small nuclear 535, pseudogene [Source:HGNC Symbol;Acc:HGNC:47498]	RNU6-535P
RN7SK pseudogene 167 [Source:HGNC Symbol;Acc:HGNC:45891]	RN7SKP167
TATA-box binding protein associated factor 11 like 10 [Source:HGNC Symbol;Acc:HGNC:53853]	TAF11L10
apical junction component 1 homolog [Source:HGNC Symbol;Acc:HGNC:37284]	AJM1
zinc finger protein 354B [Source:HGNC Symbol;Acc:HGNC:17197]	ZNF354B
Kruppel like factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	KLF2
fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	FGFR2
CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	CD302
SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	SET
nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	NUP62
OTU deubiquitinase with linear linkage specificity [Source:HGNC Symbol;Acc:HGNC:25118]	OTULIN
long intergenic non-protein coding RNA 1802 [Source:HGNC Symbol;Acc:HGNC:52591]	LINC01802
KAT8 regulatory NSL complex subunit 1 like [Source:HGNC Symbol;Acc:HGNC:26310]	KANSL1L
olfactory receptor family 1 subfamily L member 8 [Source:HGNC Symbol;Acc:HGNC:15110]	OR1L8
novel transcript, antisense to FAM153A	
RRM1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40512]	RRM1-AS1
zinc finger protein 618 [Source:HGNC Symbol;Acc:HGNC:29416]	ZNF618
olfactory receptor family 55 subfamily B member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15241]	OR55B1P
