SYMBOL	DESCRIPTION
LINC01107	Long intergenic non-protein coding RNA 1107
ADGRF5	Adhesion G protein-coupled receptor F5
SPDL1	Spindle apparatus coiled-coil protein 1
UGGT1	UDP-glucose glycoprotein glucosyltransferase 1
MIR490	MicroRNA 490
KRT8P51	Keratin 8 pseudogene 51
IGFALS	Insulin like growth factor binding protein acid labile subunit
CHRM2	Cholinergic receptor muscarinic 2
MPRIP	Myosin phosphatase Rho interacting protein
HAGH	Hydroxyacylglutathione hydrolase
RNU6-1272P	RNA, U6 small nuclear 1272, pseudogene
ZC3HAV1L	Zinc finger CCCH-type containing, antiviral 1 like
ZC3HAV1	Zinc finger CCCH-type containing, antiviral 1
ADGRF5-AS1	ADGRF5 antisense RNA 1
MFSD14B	Major facilitator superfamily domain containing 14B
UBE2V1P2	UBE2V1 pseudogene 2
SERP1	Stress associated endoplasmic reticulum protein 1
FAM166B	Family with sequence similarity 166 member B
DHCR24	24-dehydrocholesterol reductase
LINC01485	Long intergenic non-protein coding RNA 1485
ARFGEF1-DT	ARFGEF1 divergent transcript
ATP5MC1P4	ATP synthase membrane subunit c locus 1 pseudogene 4
YWHAQP6	YWHAQ pseudogene 6
ARL2BPP4	ADP ribosylation factor like GTPase 2 binding protein pseudogene 4
RTRAFP2	RTRAF pseudogene 2
TTC26	Tetratricopeptide repeat domain 26
SIT1	Signaling threshold regulating transmembrane adaptor 1
INTS6P1	Integrator complex subunit 6 pseudogene 1
HMMR-AS1	HMMR antisense RNA 1
AP2S1	Adaptor related protein complex 2 subunit sigma 1
TNIK	TRAF2 and NCK interacting kinase
CD72	CD72 molecule
UPP2-IT1	UPP2 intronic transcript 1
C1QTNF2	C1q and TNF related 2
TEKT4P3	Tektin 4 pseudogene 3
METAP2P1	METAP2 pseudogene 1
LINC01850	Long intergenic non-protein coding RNA 1850
PRADC1	Protease associated domain containing 1
GM2A	GM2 ganglioside activator
LINC02121	Long intergenic non-protein coding RNA 2121
TUBAP13	Tubulin alpha pseudogene 13
ARHGEF1	Rho guanine nucleotide exchange factor 1
ACKR3	Atypical chemokine receptor 3
RBM22	RNA binding motif protein 22
VAC14	VAC14 component of PIKFYVE complex
RPS3AP13	RPS3A pseudogene 13
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit
RNU6-1143P	RNA, U6 small nuclear 1143, pseudogene
RNU7-50P	RNA, U7 small nuclear 50 pseudogene
NTRK2	Neurotrophic receptor tyrosine kinase 2
PGAP2	Post-GPI attachment to proteins 2
LINC02795	Long intergenic non-protein coding RNA 2795
GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10
PHKA1P1	Phosphorylase kinase regulatory subunit alpha 1 pseudogene
CDCA4P2	Cell division cycle associated 4 pseudogene 2
COL24A1	Collagen type XXIV alpha 1 chain
VAC14-AS1	VAC14 antisense RNA 1
RNU6-1271P	RNA, U6 small nuclear 1271, pseudogene
TIGAR	TP53 induced glycolysis regulatory phosphatase
RNU6ATAC25P	RNA, U6atac small nuclear 25, pseudogene
GLUD1	Glutamate dehydrogenase 1
TEKT5	Tektin 5
MAPK6-DT	MAPK6 divergent transcript
FGF23	Fibroblast growth factor 23
LINC01932	Long intergenic non-protein coding RNA 1932
MTCYBP33	MT-CYB pseudogene 33
CERNA1	Competing endogenous lncRNA 1 for miR-4707-5p and miR-4767
MTND6P33	MT-ND6 pseudogene 33
CCND2	Cyclin D2
MTND5P33	MT-ND5 pseudogene 33
MTND4P34	MT-ND4 pseudogene 34
MTND4LP24	MT-ND4L pseudogene 24
MYO5C	Myosin VC
MTND3P13	MT-ND3 pseudogene 13
CCDC69	Coiled-coil domain containing 69
MTCO3P24	MT-CO3 pseudogene 24
MTATP6P24	MT-ATP6 pseudogene 24
MZT1P2	Mitotic spindle organizing protein 1 pseudogene 2
NUBP1	Nucleotide binding protein 1
UBN2	Ubinuclein 2
GDF11	Growth differentiation factor 11
SARNP	SAP domain containing ribonucleoprotein
SV2C	Synaptic vesicle glycoprotein 2C
RNU6-206P	RNA, U6 small nuclear 206, pseudogene
RNU7-154P	RNA, U7 small nuclear 154 pseudogene
FEZF1	FEZ family zinc finger 1
AQP3	Aquaporin 3 (Gill blood group)
MIR4664	MicroRNA 4664
MIR6851	MicroRNA 6851
STK39	Serine/threonine kinase 39
AASS	Aminoadipate-semialdehyde synthase
ANKRD18B	Ankyrin repeat domain 18B
MTCYBP37	MT-CYB pseudogene 37
MED26	Mediator complex subunit 26
TVP23A	Trans-golgi network vesicle protein 23 homolog A
HMMR	Hyaluronan mediated motility receptor
ORMDL2	ORMDL sphingolipid biosynthesis regulator 2
TP53	Tumor protein p53
BSND	Barttin CLCNK type accessory subunit beta
PAEP	Progestagen associated endometrial protein
PIN1	Peptidylprolyl cis/trans isomerase, NIMA-interacting 1
GPX7	Glutathione peroxidase 7
NCKAP5-AS2	NCKAP5 antisense RNA 2
MMP19	Matrix metallopeptidase 19
SLC44A3	Solute carrier family 44 member 3
DTYMK	Deoxythymidylate kinase
MIR1266	MicroRNA 1266
EEF1B2P1	Eukaryotic translation elongation factor 1 beta 2 pseudogene 1
XRCC1	X-ray repair cross complementing 1
ARPP19	CAMP regulated phosphoprotein 19
DEXI	Dexi homolog
RHOG	Ras homolog family member G
STIM1-AS1	STIM1 antisense RNA 1
COG7	Component of oligomeric golgi complex 7
MIR4687	MicroRNA 4687
PPIAP40	Peptidylprolyl isomerase A pseudogene 40
HNRNPA1P76	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 76
RPS29P20	Ribosomal protein S29 pseudogene 20
LINC01502	Long intergenic non-protein coding RNA 1502
OLA1P3	OLA1 pseudogene 3
RRM1	Ribonucleotide reductase catalytic subunit M1
GSTP1P1	Glutathione S-transferase pi 1 pseudogene 1
PAEPP1	Progestagen associated endometrial protein pseudogene 1
GLT6D1	Glycosyltransferase 6 domain containing 1
DGKA	Diacylglycerol kinase alpha
LCN9	Lipocalin 9
MAL	Mal, T cell differentiation protein
TRAF2	TNF receptor associated factor 2
C2-AS1	C2 antisense RNA 1
RN7SKP23	RN7SK pseudogene 23
RPSAP55	Ribosomal protein SA pseudogene 55
MYL6BP1	MYL6B pseudogene 1
EEF1A1P22	Eukaryotic translation elongation factor 1 alpha 1 pseudogene 22
BBC3	BCL2 binding component 3
IL1A	Interleukin 1 alpha
SELENOS	Selenoprotein S
GGA2	Golgi associated, gamma adaptin ear containing, ARF binding protein 2
LINC02665	Long intergenic non-protein coding RNA 2665
COX6CP17	Cytochrome c oxidase subunit 6C pseudogene 17
RNU6-535P	RNA, U6 small nuclear 535, pseudogene
RN7SKP167	RN7SK pseudogene 167
TAF11L10	TATA-box binding protein associated factor 11 like 10
AJM1	Apical junction component 1 homolog
ZNF354B	Zinc finger protein 354B
KLF2	Kruppel like factor 2
FGFR2	Fibroblast growth factor receptor 2
CD302	CD302 molecule
SET	SET nuclear proto-oncogene
NUP62	Nucleoporin 62
OTULIN	OTU deubiquitinase with linear linkage specificity
LINC01802	Long intergenic non-protein coding RNA 1802
KANSL1L	KAT8 regulatory NSL complex subunit 1 like
OR1L8	Olfactory receptor family 1 subfamily L member 8
RRM1-AS1	RRM1 antisense RNA 1
ZNF618	Zinc finger protein 618
OR55B1P	Olfactory receptor family 55 subfamily B member 1 pseudogene
B4GALT7	Beta-1,4-galactosyltransferase 7
LINC02749	Long intergenic non-protein coding RNA 2749
RDXP1	RDX pseudogene 1
STIM1	Stromal interaction molecule 1
SNRPA1-DT	SNRPA1 divergent transcript
PCSK6-AS1	PCSK6 antisense RNA 1
ACTG1P21	Actin gamma 1 pseudogene 21
KBTBD13	Kelch repeat and BTB domain containing 13
LINC01362	Long intergenic non-protein coding RNA 1362
CNTNAP3	Contactin associated protein family member 3
CHSY1	Chondroitin sulfate synthase 1
NSRP1P1	Nuclear speckle splicing regulatory protein 1 pseudogene 1
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
PKN2	Protein kinase N2
MIR4285	MicroRNA 4285
MIR937	MicroRNA 937
PMS2P12	PMS1 homolog 2, mismatch repair system component pseudogene 12
CCNYL7	Cyclin Y like 7 (pseudogene)
PRKRIP1	PRKR interacting protein 1
EARS2	Glutamyl-tRNA synthetase 2, mitochondrial
SNRPCP18	Small nuclear ribonucleoprotein polypeptide C pseudogene 18
LINC02348	Long intergenic non-protein coding RNA 2348
TM2D3	TM2 domain containing 3
RELN	Reelin
TEAD1	TEA domain transcription factor 1
RPL21P33	Ribosomal protein L21 pseudogene 33
GRAMD4P8	GRAM domain containing 4 pseudogene 8
CRB2	Crumbs cell polarity complex component 2
DAB1-AS1	DAB1 antisense RNA 1
SUB1P4	SUB1 pseudogene 4
ARPC1BP1	ARPC1B pseudogene 1
MTND4P27	MT-ND4 pseudogene 27
UBFD1	Ubiquitin family domain containing 1
PPP3R1	Protein phosphatase 3 regulatory subunit B, alpha
RNU6-807P	RNA, U6 small nuclear 807, pseudogene
TARS3	Threonyl-tRNA synthetase 3
MTCO1P21	MT-CO1 pseudogene 21
MIR601	MicroRNA 601
MIR7150	MicroRNA 7150
TMEM174	Transmembrane protein 174
PIGFP2	Phosphatidylinositol glycan anchor biosynthesis class F pseudogene 2
LINC00958	Long intergenic non-protein coding RNA 958
LHX2	LIM homeobox 2
GBP1P1	Guanylate binding protein 1 pseudogene 1
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1
LINC01364	Long intergenic non-protein coding RNA 1364
CXCR2P1	C-X-C motif chemokine receptor 2 pseudogene 1
RPSAP65	Ribosomal protein SA pseudogene 65
RASSF10-DT	RASSF10 divergent transcript
PARP8	Poly(ADP-ribose) polymerase family member 8
RASSF10	Ras association domain family member 10
CLCA4	Chloride channel accessory 4
CACYBPP2	Calcyclin binding protein pseudogene 2
WDR18	WD repeat domain 18
DENND1A	DENN domain containing 1A
PHF5GP	PHD finger protein 5G pseudogene
PALB2	Partner and localizer of BRCA2
PROM2	Prominin 2
MIR4422HG	MIR4422 host gene
ABCD3	ATP binding cassette subfamily D member 3
DCTN5	Dynactin subunit 5
PRRC2B	Proline rich coiled-coil 2B
PCSK6	Proprotein convertase subtilisin/kexin type 6
MIR1236	MicroRNA 1236
PLK1	Polo like kinase 1
SHANK2-AS1	SHANK2 antisense RNA 1
SHANK2-AS2	SHANK2 antisense RNA 2
NRBP2	Nuclear receptor binding protein 2
SHANK2-AS3	SHANK2 antisense RNA 3
IFT80	Intraflagellar transport 80
MIR3664	MicroRNA 3664
LPAR5	Lysophosphatidic acid receptor 5
ACTE1P	Actin epsilon 1, pseudogene
MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate)
RPS28P7	Ribosomal protein S28 pseudogene 7
ACRBP	Acrosin binding protein
FAM181B	Family with sequence similarity 181 member B
LINC02734	Long intergenic non-protein coding RNA 2734
RBMXP3	RBMX pseudogene 3
PRCP	Prolylcarboxypeptidase
ORC5	Origin recognition complex subunit 5
RBM43	RNA binding motif protein 43
OPA3	Outer mitochondrial membrane lipid metabolism regulator OPA3
CALR3	Calreticulin 3
DOCK8	Dedicator of cytokinesis 8
ZMYND12	Zinc finger MYND-type containing 12
SP100	SP100 nuclear antigen
JPT2	Jupiter microtubule associated homolog 2
IFNL2	Interferon lambda 2
MIR6845	MicroRNA 6845
ALG14	ALG14 UDP-N-acetylglucosaminyltransferase subunit
EPPK1	Epiplakin 1
MIR661	MicroRNA 661
ZNF547	Zinc finger protein 547
ZZZ3	Zinc finger ZZ-type containing 3
PARP10	Poly(ADP-ribose) polymerase family member 10
OPN1SW	Opsin 1, short wave sensitive
NR2C2AP	Nuclear receptor 2C2 associated protein
TFAMP1	Transcription factor A, mitochondrial pseudogene 1
ING4	Inhibitor of growth family member 4
ELFN1-AS1	ELFN1 antisense RNA 1
MIR4655	MicroRNA 4655
MRM2	Mitochondrial rRNA methyltransferase 2
CARM1	Coactivator associated arginine methyltransferase 1
SNX8	Sorting nexin 8
MIR3177	MicroRNA 3177
YIPF1	Yip1 domain family member 1
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene
PRKCI	Protein kinase C iota
MIR6836	MicroRNA 6836
IMMP1LP3	Inner mitochondrial membrane peptidase subunit 1 pseudogene 3
KIF19BP	Kinesin family member 19B, pseudogene
CCNF	Cyclin F
CHST12	Carbohydrate sulfotransferase 12
MAD1L1	Mitotic arrest deficient 1 like 1
HNRNPCP9	Heterogeneous nuclear ribonucleoprotein C pseudogene 9
KATNBL1P2	Katanin regulatory subunit B1 like 1 pseudogene 2
NFYC-AS1	NFYC antisense RNA 1
LDLRAD1	Low density lipoprotein receptor class A domain containing 1
PRX	Periaxin
LINC02053	Long intergenic non-protein coding RNA 2053
LINC02082	Long intergenic non-protein coding RNA 2082
MIR6767	MicroRNA 6767
TEDC2	Tubulin epsilon and delta complex 2
PCCB	Propionyl-CoA carboxylase subunit beta
EIF2S2P6	Eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 6
DDIAS	DNA damage induced apoptosis suppressor
IZUMO1	Izumo sperm-egg fusion 1
GJB4	Gap junction protein beta 4
TMEM125	Transmembrane protein 125
GRINA	Glutamate ionotropic receptor NMDA type subunit associated protein 1
FAM153A	Family with sequence similarity 153 member A
PTMS	Parathymosin
FGF21	Fibroblast growth factor 21
DMRTA2	DMRT like family A2
RNU6-317P	RNA, U6 small nuclear 317, pseudogene
RN7SL556P	RNA, 7SL, cytoplasmic 556, pseudogene
OCM	Oncomodulin
BCAT2	Branched chain amino acid transaminase 2
RAB30	RAB30, member RAS oncogene family
HIVEP3	HIVEP zinc finger 3
CCZ1	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated
SDR9C7	Short chain dehydrogenase/reductase family 9C member 7
SPATC1	Spermatogenesis and centriole associated 1
GPR182	G protein-coupled receptor 182
OPLAH	5-oxoprolinase, ATP-hydrolysing
CLCA3P	Chloride channel accessory 3, pseudogene
ZBTB39	Zinc finger and BTB domain containing 39
TAC3	Tachykinin precursor 3
INMT-MINDY4	INMT-MINDY4 readthrough (NMD candidate)
SH3GLB1	SH3 domain containing GRB2 like, endophilin B1
MIR6768	MicroRNA 6768
TEDC2-AS1	TEDC2 antisense RNA 1
NTN3	Netrin 3
SPATA31C2	SPATA31 subfamily C member 2
MINDY4	MINDY lysine 48 deubiquitinase 4
SPTLC1	Serine palmitoyltransferase long chain base subunit 1
EIF4A1	Eukaryotic translation initiation factor 4A1
ATP6V0C	ATPase H+ transporting V0 subunit c
MIR6846	MicroRNA 6846
EXOSC4	Exosome component 4
MIR6847	MicroRNA 6847
SNORA70E	Small nucleolar RNA, H/ACA box 70E
COX5BP4	Cytochrome c oxidase subunit 5B pseudogene 4
C1DP5	C1D nuclear receptor corepressor pseudogene 5
GPAA1	Glycosylphosphatidylinositol anchor attachment 1
WBP1LP10	WBP1L pseudogene 10
AQP1	Aquaporin 1 (Colton blood group)
OR4F2P	Olfactory receptor family 4 subfamily F member 2 pseudogene
CICP23	Capicua transcriptional repressor pseudogene 23
LINC01001	Long intergenic non-protein coding RNA 1001
CEMP1	Cementum protein 1
RAB27A	RAB27A, member RAS oncogene family
MIR3178	MicroRNA 3178
PDPK1	3-phosphoinositide dependent protein kinase 1
RNU6-447P	RNA, U6 small nuclear 447, pseudogene
SCGB1C1	Secretoglobin family 1C member 1
MIR6743	MicroRNA 6743
ZRANB3	Zinc finger RANBP2-type containing 3
GHRHR	Growth hormone releasing hormone receptor
SIRT3	Sirtuin 3
TM2D1	TM2 domain containing 1
OR1X5P	Olfactory receptor family 1 subfamily X member 5 pseudogene
FAM153CP	Family with sequence similarity 153 member C, pseudogene
NLRP6	NLR family pyrin domain containing 6
HMGB1P45	High mobility group box 1 pseudogene 45
HSD17B14	Hydroxysteroid 17-beta dehydrogenase 14
SCP2	Sterol carrier protein 2
PGGHG	Protein-glucosylgalactosylhydroxylysine glucosidase
CNTRL	Centriolin
CYC1	Cytochrome c1
MYO1A	Myosin IA
SHARPIN	SHANK associated RH domain interactor
PIGBOS1	PIGB opposite strand 1
LINC01941	Long intergenic non-protein coding RNA 1941
PLEKHA4	Pleckstrin homology domain containing A4
ADCYAP1R1	ADCYAP receptor type I
MTND6P8	MT-ND6 pseudogene 8
SPHKAP	SPHK1 interactor, AKAP domain containing
PIGB	Phosphatidylinositol glycan anchor biosynthesis class B
IFITM5	Interferon induced transmembrane protein 5
B4GALNT4	Beta-1,4-N-acetyl-galactosaminyltransferase 4
RPL21P38	Ribosomal protein L21 pseudogene 38
MAF1	MAF1 homolog, negative regulator of RNA polymerase III
MIR628	MicroRNA 628
PKP3	Plakophilin 3
RSL24D1	Ribosomal L24 domain containing 1
OR7E90P	Olfactory receptor family 7 subfamily E member 90 pseudogene
ASB1	Ankyrin repeat and SOCS box containing 1
PDPK2P	3-phosphoinositide dependent protein kinase 2, pseudogene
ZNF2	Zinc finger protein 2
SIGIRR	Single Ig and TIR domain containing
PPP1R15A	Protein phosphatase 1 regulatory subunit 15A
TULP2	TUB like protein 2
WDR97	WD repeat domain 97
TBC1D24	TBC1 domain family member 24
NEMP1	Nuclear envelope integral membrane protein 1
POLD2	DNA polymerase delta 2, accessory subunit
MREG	Melanoregulin
FAF1-AS1	FAF1 antisense RNA 1
MTND4P11	MT-ND4 pseudogene 11
NAB2	NGFI-A binding protein 2
HGH1	HGH1 homolog
NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2
NUCB1	Nucleobindin 1
BCAR3	BCAR3 adaptor protein, NSP family member
ABCA2	ATP binding cassette subfamily A member 2
HMGB1P3	High mobility group box 1 pseudogene 3
IQCA1-AS1	IQCA1 antisense RNA 1
ANO9	Anoctamin 9
CHP1	Calcineurin like EF-hand protein 1
TSSK5P	Testis specific serine kinase 5, pseudogene
TMEM17	Transmembrane protein 17
INTS8	Integrator complex subunit 8
STAT6	Signal transducer and activator of transcription 6
RPSAP33	Ribosomal protein SA pseudogene 33
MTCYBP8	MT-CYB pseudogene 8
LINC02000	Long intergenic non-protein coding RNA 2000
LINC02014	Long intergenic non-protein coding RNA 2014
DCUN1D1	Defective in cullin neddylation 1 domain containing 1
RN7SL838P	RNA, 7SL, cytoplasmic 838, pseudogene
P2RY2	Purinergic receptor P2Y2
MTND5P29	MT-ND5 pseudogene 29
SNF8P1	SNF8 pseudogene 1
OIP5-AS1	OIP5 antisense RNA 1
RPL3P5	Ribosomal protein L3 pseudogene 5
OR8R1P	Olfactory receptor family 8 subfamily R member 1 pseudogene
NUB1	Negative regulator of ubiquitin like proteins 1
ARHGEF17-AS1	ARHGEF17 antisense RNA 1
CERS6-AS1	CERS6 antisense RNA 1
P2RY6	Pyrimidinergic receptor P2Y6
SLC31A1P1	Solute carrier family 31 member 1 pseudogene 1
LINC02023	Long intergenic non-protein coding RNA 2023
PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
MTCO3P21	MT-CO3 pseudogene 21
TBCAP2	Tubulin folding cofactor A pseudogene 2
BARHL2	BarH like homeobox 2
OIP5	Opa interacting protein 5
NUCB1-AS1	NUCB1 antisense RNA 1
LINC02607	Long intergenic non-protein coding RNA 2607
DHDH	Dihydrodiol dehydrogenase
SPATS2L	Spermatogenesis associated serine rich 2 like
NUSAP1	Nucleolar and spindle associated protein 1
OAZ1P1	OAZ1 pseudogene 1
FTL	Ferritin light chain
DMAP1	DNA methyltransferase 1 associated protein 1
IFITM1	Interferon induced transmembrane protein 1
SF3A3P2	Splicing factor 3a, subunit 3 pseudogene 2
MIR6506	MicroRNA 6506
SCN3B	Sodium voltage-gated channel beta subunit 3
MIR484	MicroRNA 484
ZNF585A	Zinc finger protein 585A
ALDH1B1	Aldehyde dehydrogenase 1 family member B1
TMEM88	Transmembrane protein 88
IGFBPL1	Insulin like growth factor binding protein like 1
TAS2R39	Taste 2 receptor member 39
ARMC8P1	Armadillo repeat containing 8 pseudogene 1
CYB5D1	Cytochrome b5 domain containing 1
TCEA1P3	Transcription elongation factor A1 pseudogene 3
GAS2L1P1	Growth arrest specific 2 like 1 pseudogene 1
VN1R48P	Vomeronasal 1 receptor 48 pseudogene
TAS2R40	Taste 2 receptor member 40
FAM220BP	Family with sequence similarity 220 member B, pseudogene
GSTK1	Glutathione S-transferase kappa 1
FAM95C	Family with sequence similarity 95 member C
ZNF585B	Zinc finger protein 585B
SCARNA21	Small Cajal body-specific RNA 21
TPT1P3	Tumor protein, translationally-controlled 1 pseudogene 3
TRAPPC1	Trafficking protein particle complex subunit 1
LINC02031	Long intergenic non-protein coding RNA 2031
RNA5SP206	RNA, 5S ribosomal pseudogene 206
H2AC6	H2A clustered histone 6
PRKCH	Protein kinase C eta
MTND4LP10	MT-ND4L pseudogene 10
H1-12P	H1.12 linker histone, cluster member pseudogene
BZW1P1	Basic leucine zipper and W2 domains 1 pseudogene 1
SNX18P3	Sorting nexin 18 pseudogene 3
ANKRD18A	Ankyrin repeat domain 18A
ZNF202	Zinc finger protein 202
LINC02006	Long intergenic non-protein coding RNA 2006
H3C4	H3 clustered histone 4
SLC7A14-AS1	SLC7A14 antisense RNA 1
H2AC7	H2A clustered histone 7
H2AC8	H2A clustered histone 8
TP53INP1	Tumor protein p53 inducible nuclear protein 1
RPL22P1	Ribosomal protein L22 pseudogene 1
H3C5P	H3 clustered histone 5, pseudogene
CNTROB	Centrobin, centriole duplication and spindle assembly protein
H2AC9P	H2A clustered histone 9, pseudogene
SNRPCP8	Small nuclear ribonucleoprotein polypeptide C pseudogene 8
H1-3	H1.3 linker histone, cluster member
H4C6	H4 clustered histone 6
SOX2	SRY-box transcription factor 2
H4C7	H4 clustered histone 7
H3C7	H3 clustered histone 7
H2AC10P	H2A clustered histone 10, pseudogene
H2BC10	H2B clustered histone 10
ATP11B	ATPase phospholipid transporting 11B (putative)
H3C9P	H3 clustered histone 9, pseudogene
AHCYL1	Adenosylhomocysteinase like 1
RPS15AP18	Ribosomal protein S15a pseudogene 18
MIR4457	MicroRNA 4457
MIR4277	MicroRNA 4277
BTN3A2	Butyrophilin subfamily 3 member A2
MIR6075	MicroRNA 6075
RN7SKP73	RN7SK pseudogene 73
MIR4458	MicroRNA 4458
RNU1-76P	RNA, U1 small nuclear 76, pseudogene
VCPIP1	Valosin containing protein interacting protein 1
SNORD123	Small nucleolar RNA, C/D box 123
RNA5SP177	RNA, 5S ribosomal pseudogene 177
RNA5SP176	RNA, 5S ribosomal pseudogene 176
FAM201A	Family with sequence similarity 201 member A
MIR4636	MicroRNA 4636
RNU6-429P	RNA, U6 small nuclear 429, pseudogene
MIR887	MicroRNA 887
RNU6-679P	RNA, U6 small nuclear 679, pseudogene
RN7SKP133	RN7SK pseudogene 133
RNA5SP179	RNA, 5S ribosomal pseudogene 179
NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1
